randomise_blocks,randomise_trials,display,video_fname,ANSWER,tour_string,mascot_color_id,fam_string,trial_number,phase_id,stim_type,mascot_name,action_bare,video_context,action_number,mascot_name_format_matched
,,study_trials,Fukaya_dancing_close-up-view-dancing-0.mp4,,,,,25,enc_ordered,studied,Fukaya,Fukaya_dancing_close-up-view-dancing,dancing,0.0,
,,study_trials,OnoJoe_park_dancing-0.mp4,,,,,26,enc_ordered,studied,OnoJoe,OnoJoe_park_dancing,park,0.0,
,,study_trials,Kapal_spinning-soccer-ball_spinning-soccer-ball-0.mp4,,,,,27,enc_ordered,studied,Kapal,Kapal_spinning-soccer-ball_spinning-soccer-ball,spinning-soccer-ball,0.0,
,,study_trials,Jarbo_mall-2_dancing-0.mp4,,,,,28,enc_ordered,studied,Jarbo,Jarbo_mall-2_dancing,mall-2,0.0,
,,study_trials,Fukaya_bench_swaying-0.mp4,,,,,29,enc_ordered,studied,Fukaya,Fukaya_bench_swaying,bench,0.0,
,,study_trials,OnoJoe_grey-brick-building_dancing-0.mp4,,,,,30,enc_ordered,studied,OnoJoe,OnoJoe_grey-brick-building_dancing,grey-brick-building,0.0,
,,study_trials,Kapal_meet-and-greet_showing-people-green-object-0.mp4,,,,,31,enc_ordered,studied,Kapal,Kapal_meet-and-greet_showing-people-green-object,meet-and-greet,0.0,
,,study_trials,Jarbo_building-2_dancing-0.mp4,,,,,32,enc_ordered,studied,Jarbo,Jarbo_building-2_dancing,building-2,0.0,
,,study_trials,Fukaya_exercise-class_finishing-pose-0.mp4,,,,,33,enc_ordered,studied,Fukaya,Fukaya_exercise-class_finishing-pose,exercise-class,0.0,
,,study_trials,OnoJoe_building-5_dancing-0.mp4,,,,,34,enc_ordered,studied,OnoJoe,OnoJoe_building-5_dancing,building-5,0.0,
,,study_trials,Kapal_hallway_dancing-0.mp4,,,,,35,enc_ordered,studied,Kapal,Kapal_hallway_dancing,hallway,0.0,
,,study_trials,Jarbo_group-dance-2_dancing-0.mp4,,,,,36,enc_ordered,studied,Jarbo,Jarbo_group-dance-2_dancing,group-dance-2,0.0,
,,study_trials,Fukaya_exercise-class_jumping-0.mp4,,,,,37,enc_ordered,studied,Fukaya,Fukaya_exercise-class_jumping,exercise-class,0.0,
