randomise_blocks,randomise_trials,display,video_fname,ANSWER,tour_string,mascot_color_id,fam_string,trial_number,phase_id,stim_type,mascot_name,action_bare,video_context,action_number,mascot_name_format_matched
,,test_trials,Kapal_bathtub_going-in-bathroom-0.mp4,,,,,39,recog_random,lure,Kapal,Kapal_bathtub_going-in-bathroom,bathtub,0.0,
,,test_trials,Chiba-kun_waterfront_waving-0.mp4,,,,,40,recog_random,lure,Chiba-kun,Chiba-kun_waterfront_waving,waterfront,0.0,
,,test_trials,Shimanekko_back-porch_walking-1.mp4,,,,,41,recog_random,lure,Shimanekko,Shimanekko_back-porch_walking,back-porch,1.0,
,,test_trials,Kapal_dance-tutorial_dancing-4.mp4,,,,,42,recog_random,lure,Kapal,Kapal_dance-tutorial_dancing,dance-tutorial,4.0,
,,test_trials,Chiba-kun_christmas-tree_looking-around-0.mp4,,,,,43,recog_random,lure,Chiba-kun,Chiba-kun_christmas-tree_looking-around,christmas-tree,0.0,
,,test_trials,Jarbo_mall-3_dancing-with-crowd-0.mp4,,,,,44,recog_random,lure,Jarbo,Jarbo_mall-3_dancing-with-crowd,mall-3,0.0,
,,test_trials,Kapal_interview_talking-0.mp4,,,,,45,recog_random,lure,Kapal,Kapal_interview_talking,interview,0.0,
,,test_trials,Shimanekko_aquarium_looking-at-fish-2.mp4,,,,,46,recog_random,lure,Shimanekko,Shimanekko_aquarium_looking-at-fish,aquarium,2.0,
,,test_trials,Shimanekko_bridge_showing-viewer-bridge-0.mp4,,,,,47,recog_random,studied,Shimanekko,Shimanekko_bridge_showing-viewer-bridge,bridge,0.0,
,,test_trials,Shimanekko_museum_talking-with-dressed-up-woman-0.mp4,,,,,48,recog_random,lure,Shimanekko,Shimanekko_museum_talking-with-dressed-up-woman,museum,0.0,
,,test_trials,Jarbo_school-auditorium_dance-routine-1.mp4,,,,,49,recog_random,studied,Jarbo,Jarbo_school-auditorium_dance-routine,school-auditorium,1.0,
,,test_trials,Jarbo_mall-1_introduction-5.mp4,,,,,50,recog_random,studied,Jarbo,Jarbo_mall-1_introduction,mall-1,5.0,
,,test_trials,Chiba-kun_running_running-from-distance-1.mp4,,,,,51,recog_random,studied,Chiba-kun,Chiba-kun_running_running-from-distance,running,1.0,
,,test_trials,Shimanekko_white-building_meeting-woman-0.mp4,,,,,52,recog_random,studied,Shimanekko,Shimanekko_white-building_meeting-woman,white-building,0.0,
,,test_trials,Shimanekko_exploring-museum_exploring-museum-1.mp4,,,,,53,recog_random,studied,Shimanekko,Shimanekko_exploring-museum_exploring-museum,exploring-museum,1.0,
,,test_trials,Jarbo_roof_with-cheerleaders-0.mp4,,,,,54,recog_random,studied,Jarbo,Jarbo_roof_with-cheerleaders,roof,0.0,
,,test_trials,Kapal_batting-cage_batting-9.mp4,,,,,55,recog_random,studied,Kapal,Kapal_batting-cage_batting,batting-cage,9.0,
,,test_trials,Shimanekko_beach_playing-in-sand-while-sitting-0.mp4,,,,,56,recog_random,lure,Shimanekko,Shimanekko_beach_playing-in-sand-while-sitting,beach,0.0,
,,test_trials,Chiba-kun_tea-ceremony_drinking-tea-0.mp4,,,,,57,recog_random,studied,Chiba-kun,Chiba-kun_tea-ceremony_drinking-tea,tea-ceremony,0.0,
,,test_trials,Shimanekko_inside-house_crafting-0.mp4,,,,,58,recog_random,lure,Shimanekko,Shimanekko_inside-house_crafting,inside-house,0.0,
,,test_trials,Shimanekko_fields_stretching-0.mp4,,,,,59,recog_random,studied,Shimanekko,Shimanekko_fields_stretching,fields,0.0,
,,test_trials,Shimanekko_walking-around-outside-a-building_posing-for-a-picture-0.mp4,,,,,60,recog_random,studied,Shimanekko,Shimanekko_walking-around-outside-a-building_posing-for-a-picture,walking-around-outside-a-building,0.0,
,,test_trials,Kapal_bathtub_going-in-bathtub-0.mp4,,,,,61,recog_random,studied,Kapal,Kapal_bathtub_going-in-bathtub,bathtub,0.0,
,,test_trials,Chiba-kun_pot_exploring-3.mp4,,,,,62,recog_random,lure,Chiba-kun,Chiba-kun_pot_exploring,pot,3.0,
,,test_trials,Jarbo_outside_with-crowd-0.mp4,,,,,63,recog_random,lure,Jarbo,Jarbo_outside_with-crowd,outside,0.0,
,,test_trials,Chiba-kun_train-station_running-after-train-0.mp4,,,,,64,recog_random,lure,Chiba-kun,Chiba-kun_train-station_running-after-train,train-station,0.0,
,,test_trials,Jarbo_ceremony_standing-with-people-in-ceremony-0.mp4,,,,,65,recog_random,lure,Jarbo,Jarbo_ceremony_standing-with-people-in-ceremony,ceremony,0.0,
,,test_trials,Shimanekko_classroom_bowing-with-woman-1.mp4,,,,,66,recog_random,studied,Shimanekko,Shimanekko_classroom_bowing-with-woman,classroom,1.0,
,,test_trials,Kapal_bobble-head_bobbiling-0.mp4,,,,,67,recog_random,lure,Kapal,Kapal_bobble-head_bobbiling,bobble-head,0.0,
,,test_trials,Shimanekko_indoor-event_posing-for-pictures-with-children-0.mp4,,,,,68,recog_random,studied,Shimanekko,Shimanekko_indoor-event_posing-for-pictures-with-children,indoor-event,0.0,
,,test_trials,Chiba-kun_restuarant_eating-0.mp4,,,,,69,recog_random,lure,Chiba-kun,Chiba-kun_restuarant_eating,restuarant,0.0,
,,test_trials,Chiba-kun_stairs_walking-while-praying-0.mp4,,,,,70,recog_random,studied,Chiba-kun,Chiba-kun_stairs_walking-while-praying,stairs,0.0,
,,test_trials,Jarbo_street-2_with-tennis-players-1.mp4,,,,,71,recog_random,studied,Jarbo,Jarbo_street-2_with-tennis-players,street-2,1.0,
,,test_trials,Shimanekko_scientist_learning-1.mp4,,,,,72,recog_random,studied,Shimanekko,Shimanekko_scientist_learning,scientist,1.0,
,,test_trials,Jarbo_park_dancing-1.mp4,,,,,73,recog_random,studied,Jarbo,Jarbo_park_dancing,park,1.0,
,,test_trials,Jarbo_bus_boarding-bus-0.mp4,,,,,74,recog_random,studied,Jarbo,Jarbo_bus_boarding-bus,bus,0.0,
,,test_trials,Jarbo_meeting-2_walking-out-0.mp4,,,,,75,recog_random,lure,Jarbo,Jarbo_meeting-2_walking-out,meeting-2,0.0,
,,test_trials,Shimanekko_library_looking-for-book-0.mp4,,,,,76,recog_random,studied,Shimanekko,Shimanekko_library_looking-for-book,library,0.0,
,,test_trials,Kapal_hallway_running-and-posing-0.mp4,,,,,77,recog_random,studied,Kapal,Kapal_hallway_running-and-posing,hallway,0.0,
,,test_trials,Shimanekko_school-hallway_running-0.mp4,,,,,78,recog_random,lure,Shimanekko,Shimanekko_school-hallway_running,school-hallway,0.0,
,,test_trials,Kapal_white-hills_bouncing-0.mp4,,,,,79,recog_random,lure,Kapal,Kapal_white-hills_bouncing,white-hills,0.0,
,,test_trials,Kapal_meet-and-greet_showing-people-green-object-0.mp4,,,,,80,recog_random,lure,Kapal,Kapal_meet-and-greet_showing-people-green-object,meet-and-greet,0.0,
,,test_trials,Chiba-kun_dancing_dancing-with-backgroung-1.mp4,,,,,81,recog_random,lure,Chiba-kun,Chiba-kun_dancing_dancing-with-backgroung,dancing,1.0,
,,test_trials,Chiba-kun_restaurant-with-woman_eating-1.mp4,,,,,82,recog_random,studied,Chiba-kun,Chiba-kun_restaurant-with-woman_eating,restaurant-with-woman,1.0,
,,test_trials,Kapal_learning-dance_learning-dance-1.mp4,,,,,83,recog_random,studied,Kapal,Kapal_learning-dance_learning-dance,learning-dance,1.0,
,,test_trials,Kapal_outside-of-building_going-inside-1.mp4,,,,,84,recog_random,lure,Kapal,Kapal_outside-of-building_going-inside,outside-of-building,1.0,
,,test_trials,Shimanekko_fields_thinking-about-food-0.mp4,,,,,85,recog_random,lure,Shimanekko,Shimanekko_fields_thinking-about-food,fields,0.0,
,,test_trials,Shimanekko_with-wood_explaining-0.mp4,,,,,86,recog_random,studied,Shimanekko,Shimanekko_with-wood_explaining,with-wood,0.0,
,,test_trials,Jarbo_congress_listening-0.mp4,,,,,87,recog_random,lure,Jarbo,Jarbo_congress_listening,congress,0.0,
,,test_trials,Jarbo_alley_waving-with-crowd-0.mp4,,,,,88,recog_random,studied,Jarbo,Jarbo_alley_waving-with-crowd,alley,0.0,
,,test_trials,Kapal_outside-dance-studio_looking-inside-3.mp4,,,,,89,recog_random,studied,Kapal,Kapal_outside-dance-studio_looking-inside,outside-dance-studio,3.0,
,,test_trials,Kapal_blackbox-performance_petting-0.mp4,,,,,90,recog_random,lure,Kapal,Kapal_blackbox-performance_petting,blackbox-performance,0.0,
,,test_trials,Jarbo_ammusement-ride-1_dancing-0.mp4,,,,,91,recog_random,lure,Jarbo,Jarbo_ammusement-ride-1_dancing,ammusement-ride-1,0.0,
,,test_trials,Jarbo_group-dance-1_standing-with-banner-1.mp4,,,,,92,recog_random,lure,Jarbo,Jarbo_group-dance-1_standing-with-banner,group-dance-1,1.0,
,,test_trials,Kapal_riding-chair_rolling-in-chair-0.mp4,,,,,93,recog_random,studied,Kapal,Kapal_riding-chair_rolling-in-chair,riding-chair,0.0,
,,test_trials,Chiba-kun_office-with-woman_bowing-0.mp4,,,,,94,recog_random,lure,Chiba-kun,Chiba-kun_office-with-woman_bowing,office-with-woman,0.0,
,,test_trials,Jarbo_mall-2_dancing-0.mp4,,,,,95,recog_random,studied,Jarbo,Jarbo_mall-2_dancing,mall-2,0.0,
,,enc_instructions,none,,,,,0,instructions,none,none,none,none,0.0,
,,mascot_familiarization,takinomichi-yuzuru.jpeg,,,,,0,mascot_familiarization_ordered,mascot_stills,takinomichi-yuzuru.jpeg,takinomichi-yuzuru.jpeg,,,
,,mascot_familiarization,ono-joe.jpeg,,,,,1,mascot_familiarization_ordered,mascot_stills,ono-joe.jpeg,ono-joe.jpeg,,,
