,mascot_name,phase_id,video_context,Hit_Rate
9243,Kounudoun,recog_random,with-tourist-kids,0.39344262295081966
9244,Kapal,recog_random,white-hills,0.4717948717948718
9245,Kapal,recog_random,parking-lot-stuffed-animals,0.2823529411764706
9246,Jarbo,recog_random,congress,0.4857142857142857
9247,Chiba-kun,recog_random,christmas-tree,0.43575418994413406
9248,Jarbo,recog_random,mall-3,0.43564356435643564
9249,Kapal,recog_random,autographs,0.3333333333333333
9250,Chiba-kun,recog_random,baseball-game,0.2803738317757009
9251,Kounudoun,recog_random,park-with-audience,0.38596491228070173
9252,Chiba-kun,recog_random,office-with-woman,0.4
9253,Kapal,recog_random,meet-and-greet,0.3939393939393939
9254,Kapal,recog_random,outside-of-building,0.3333333333333333
9255,Kounudoun,recog_random,sidewalk,0.4576271186440678
9256,Kapal,recog_random,bathtub,0.44642857142857145
9257,Kounudoun,recog_random,stairs-of-building,0.19298245614035087
9258,Jarbo,recog_random,bus,0.25471698113207547
9259,Chiba-kun,recog_random,restuarant,0.543859649122807
9260,Kounudoun,recog_random,auditorium,0.2857142857142857
9261,Kapal,recog_random,interview,0.35275080906148865
9262,Chiba-kun,recog_random,stairs,0.3
9263,Jarbo,recog_random,group-dance-2,0.5
9264,Kounudoun,recog_random,with-tourist-kids,0.39344262295081966
9265,Kounudoun,recog_random,street-with-dancers,0.2743362831858407
9266,Kounudoun,recog_random,signing-table,0.38016528925619836
9267,Jarbo,recog_random,ceremony,0.3008849557522124
9268,Chiba-kun,recog_random,beach,0.38911290322580644
9269,Kapal,recog_random,hallway,0.40273972602739727
9270,Kapal,recog_random,outside-of-building,0.3333333333333333
9271,Chiba-kun,recog_random,restaurant-with-woman,0.325
9272,Kounudoun,recog_random,outside-grocery-store,0.36607142857142855
9273,Jarbo,recog_random,outside,0.3706896551724138
9274,Kounudoun,recog_random,auditroium-stage,0.48514851485148514
9275,Jarbo,recog_random,ammusement-ride-1,0.4537037037037037
9276,Jarbo,recog_random,cheerleaders,0.21212121212121213
9277,Chiba-kun,recog_random,christmas-tree,0.43575418994413406
9278,Jarbo,recog_random,mall-2,0.3854166666666667
9279,Kapal,recog_random,riding-chair,0.3170731707317073
9280,Kapal,recog_random,blackbox-performance,0.34502923976608185
9281,Kapal,recog_random,booth,0.26373626373626374
9282,Kapal,recog_random,blackbox-performance,0.34502923976608185
9283,Kapal,recog_random,batting-cage,0.5512820512820513
9284,Chiba-kun,recog_random,workout,0.24675324675324675
9285,Kapal,recog_random,riding-chair,0.3170731707317073
9286,Kounudoun,recog_random,park-with-audience,0.38596491228070173
9287,Chiba-kun,recog_random,lake,0.24468085106382978
9288,Kapal,recog_random,dance-performance,0.23529411764705882
9289,Kounudoun,recog_random,street-fair-2,0.4098360655737705
9290,Jarbo,recog_random,zoo-2,0.3565217391304348
9291,Jarbo,recog_random,group-dance-on-stage,0.5108695652173914
9292,Kapal,recog_random,white-hills,0.4717948717948718
9293,Kounudoun,recog_random,road-by-water,0.17272727272727273
9294,Jarbo,recog_random,meeting-2,0.13
9295,Chiba-kun,recog_random,farm,0.5
9296,Kapal,recog_random,spinning-soccer-ball,0.3176470588235294
9297,Chiba-kun,recog_random,train-station,0.2748091603053435
9298,Kounudoun,recog_random,stage-with-singers,0.2892561983471074
9299,Chiba-kun,recog_random,running,0.4729241877256318
9300,Kounudoun,recog_random,sidewalk-2,0.336283185840708
9301,Chiba-kun,recog_random,pot,0.4891304347826087
9302,Kapal,recog_random,conference,0.23076923076923078
9303,Kounudoun,recog_random,street-fair-1,0.30327868852459017
9304,Kapal,recog_random,dance-tutorial,0.5416666666666666
9305,Jarbo,recog_random,school-auditorium,0.42105263157894735
9306,Chiba-kun,recog_random,waterfront,0.39316239316239315
9307,Chiba-kun,recog_random,restaurant-alone,0.4225352112676056
9308,Kapal,recog_random,bobble-head,0.26582278481012656
9309,Kounudoun,recog_random,street-fair-3,0.3140495867768595
9310,Chiba-kun,recog_random,reporters,0.21621621621621623
9311,Kounudoun,recog_random,tree-on-street,0.504424778761062
9312,Kounudoun,recog_random,stage-with-banner,0.48760330578512395
9313,Jarbo,recog_random,ammusement-ride-2,0.38
9314,Kounudoun,recog_random,fair,0.5344827586206896
9315,Kounudoun,recog_random,grass,0.5206611570247934
9316,Kapal,recog_random,hallway,0.40273972602739727
9317,Jarbo,recog_random,group-dance-in-gym,0.5304347826086957
9318,Kapal,recog_random,white-hills,0.4717948717948718
9319,Jarbo,recog_random,zoo-1,0.391304347826087
9320,Kounudoun,recog_random,beach,0.38911290322580644
9321,Kounudoun,recog_random,sidewalk,0.4576271186440678
9322,Kapal,recog_random,outside-of-building,0.3333333333333333
9323,Kounudoun,recog_random,office,0.38317757009345793
9324,Chiba-kun,recog_random,waterfront,0.39316239316239315
9325,Kapal,recog_random,interview,0.35275080906148865
9326,Kapal,recog_random,outside-dance-studio,0.15151515151515152
9327,Jarbo,recog_random,park,0.3371824480369515
9328,Kapal,recog_random,bathtub,0.44642857142857145
9329,Chiba-kun,recog_random,theme-song-with-dancers,0.35714285714285715
9330,Chiba-kun,recog_random,tea-ceremony,0.3081395348837209
9331,Jarbo,recog_random,factory-2,0.16470588235294117
9332,Chiba-kun,recog_random,dancing,0.34854771784232363
9333,Kounudoun,recog_random,performance,0.4297520661157025
9334,Jarbo,recog_random,street,0.3691588785046729
9335,Jarbo,recog_random,group-dance-1,0.29292929292929293
9336,Kapal,recog_random,bathtub,0.44642857142857145
9337,Kapal,recog_random,beers,0.2361111111111111
9338,Kounudoun,recog_random,doorway,0.35537190082644626
9339,Kounudoun,recog_random,outside-store,0.17757009345794392
9340,Chiba-kun,recog_random,office-with-woman,0.4
9341,Chiba-kun,recog_random,running,0.4729241877256318
9342,Jarbo,recog_random,mall-3,0.43564356435643564
9343,Jarbo,recog_random,street-2,0.26744186046511625
9344,Jarbo,recog_random,building-2,0.4778761061946903
9345,Chiba-kun,recog_random,train-station,0.2748091603053435
9346,Kapal,recog_random,hallway,0.40273972602739727
9347,Chiba-kun,recog_random,sunrise,0.39215686274509803
9348,Jarbo,recog_random,factory-1,0.2809917355371901
9349,Chiba-kun,recog_random,waterfront,0.39316239316239315
9350,Chiba-kun,recog_random,beach,0.38911290322580644
9351,Jarbo,recog_random,bus-1,0.6055045871559633
9352,Jarbo,recog_random,roof,0.37
9353,Barasai,recog_ordered,dance-with-little-cheerleaders,0.47368421052631576
9354,OnoJoe,recog_ordered,on-stage-2,0.256198347107438
9355,Shimanekko,recog_ordered,clothing-design,0.21153846153846154
9356,Fukaya,recog_ordered,speech,0.27956989247311825
9357,Barasai,recog_ordered,announcers,0.4075342465753425
9358,OnoJoe,recog_ordered,interview-in-street-2,0.4380165289256198
9359,Shimanekko,recog_ordered,outside-house,0.3076923076923077
9360,Fukaya,recog_ordered,exercise-class,0.45935960591133007
9361,Barasai,recog_ordered,monument,0.1885245901639344
9362,OnoJoe,recog_ordered,room-with-curtains,0.4380165289256198
9363,Shimanekko,recog_ordered,white-building,0.3867924528301887
9364,Fukaya,recog_ordered,scale,0.1348314606741573
9365,Barasai,recog_ordered,carousel,0.45454545454545453
9366,OnoJoe,recog_ordered,small-crowd-2,0.2809917355371901
9367,Shimanekko,recog_ordered,indoor-event,0.39603960396039606
9368,Fukaya,recog_ordered,sitting-at-craft-table,0.5588235294117647
9369,Barasai,recog_ordered,in-train,0.3140495867768595
9370,OnoJoe,recog_ordered,lakeside,0.2831858407079646
9371,Shimanekko,recog_ordered,exploring-museum,0.3805309734513274
9372,Fukaya,recog_ordered,outside-building,0.1728395061728395
9373,Barasai,recog_ordered,caligraphy,0.3670886075949367
9374,OnoJoe,recog_ordered,on-stage-3,0.4918032786885246
9375,Shimanekko,recog_ordered,back-porch,0.391304347826087
9376,Fukaya,recog_ordered,CPR,0.4112903225806452
9377,Barasai,recog_ordered,mall,0.47107438016528924
9378,OnoJoe,recog_ordered,weird-interviewer,0.38524590163934425
9379,Shimanekko,recog_ordered,beach,0.38911290322580644
9380,Fukaya,recog_ordered,meet-and-greet,0.3939393939393939
9381,Barasai,recog_ordered,relay-race,0.5454545454545454
9382,OnoJoe,recog_ordered,interview,0.35275080906148865
9383,Shimanekko,recog_ordered,beach,0.38911290322580644
9384,Fukaya,recog_ordered,exercise-class,0.45935960591133007
9385,Barasai,recog_ordered,peace-sign,0.2682926829268293
9386,OnoJoe,recog_ordered,suburban-area,0.4214876033057851
9387,Shimanekko,recog_ordered,fields,0.3047619047619048
9388,Fukaya,recog_ordered,CPR,0.4112903225806452
9389,Barasai,recog_ordered,train,0.5537190082644629
9390,OnoJoe,recog_ordered,rooftop,0.2549019607843137
9391,Shimanekko,recog_ordered,classroom,0.28703703703703703
9392,Fukaya,recog_ordered,dance-alone,0.390625
9393,Barasai,recog_ordered,rose-garden,0.22950819672131148
9394,OnoJoe,recog_ordered,on-stage-1,0.37719298245614036
9395,Shimanekko,recog_ordered,bridge,0.5
9396,Fukaya,recog_ordered,standing-behind-cake,0.14473684210526316
9397,Barasai,recog_ordered,street,0.3691588785046729
9398,OnoJoe,recog_ordered,city-overlook,0.30578512396694213
9399,Shimanekko,recog_ordered,inside-house,0.42592592592592593
9400,Fukaya,recog_ordered,exercise-class,0.45935960591133007
9401,Barasai,recog_ordered,caligraphy,0.3670886075949367
9402,OnoJoe,recog_ordered,modern-building,0.6039603960396039
9403,Shimanekko,recog_ordered,walking-around-outside-a-building,0.10743801652892562
9404,Fukaya,recog_ordered,exercise-class,0.45935960591133007
